,followers,reports,comments,likes,emo_label,emotion,influence,heat,professionalism,emo,hobby_weight,topic_drives,topic_continuous_attention
150,1054,0,1,0,black,0.619295299,6.66E-06,2.89E-05,0.047564688,0.485939556,1,0.485975072,1.533504244
151,524000,0,0,238,black,0.785375416,0.003316449,0.006866705,0.032724505,0.719435962,0.203098107,0.729619117,0.955258574
152,34000,0,0,1,black,0.550195158,0.000215184,2.89E-05,0.014840183,0.388789849,0.02811245,0.389033884,0.431742482
153,22000,0,0,0,black,0.746600866,0.000139234,0,0.046042618,0.664921802,1,0.665061037,1.71096442
154,26102000,42,17,222,purple,0.53824532,0.165202526,0.008107328,0.014459665,0.371989259,1,0.545299113,1.386448924
155,106000,0,0,2,black,0.817385256,0.00067088,5.77E-05,0.052891933,0.764439439,1,0.765168022,1.817331372
156,466000,8,6,33,black,0.749714037,0.002949361,0.00135603,0.211187215,0.669298691,0.203098107,0.673604082,1.083584012
157,132,0,0,1,black,0.781972229,8.29E-07,2.89E-05,0.011035008,0.714651333,1,0.714681013,1.72568634
158,235000,0,0,4,black,0.803555489,0.001487335,0.000115407,0.062404871,0.744995804,0.026391279,0.746598547,0.833791954
159,632000,9,17,93,black,0.591352105,0.003999994,0.003433353,0.050228311,0.446653485,0.203098107,0.454086831,0.699979902
160,26000,0,0,108,black,0.809137404,0.000164551,0.003115984,0.058980213,0.752843566,0.203098107,0.756124101,1.014921886
161,279,0,0,0,black,0.772525311,1.76E-06,0,0.145357686,0.701369661,1,0.70137142,1.846727347
162,1145000,24,8,40,black,0.469300985,0.007246829,0.002077323,0.03652968,0.275058604,1,0.284382756,1.311588285
163,25000,1,0,2,black,0.85946697,0.000158222,8.66E-05,0.065829528,0.823603227,1,0.823848004,1.889432755
164,36000,0,0,1,black,0.804839921,0.000227842,2.89E-05,0.302511416,0.746801622,1,0.747058315,2.049313037
165,704,0,0,0,black,0.816963494,4.45E-06,0,0.062024353,0.763846472,1,0.763850921,1.825870825
166,610,0,0,0,black,0.855555534,3.85E-06,0,0.029299848,0.818104037,1,0.818107891,1.847403885
167,683000,56,6,76,black,0.819568217,0.004322779,0.003981535,0.142313546,0.76750852,0.026391279,0.775812834,0.936213346
168,800000,43,6,183,black,0.896285713,0.005063285,0.006693595,0.359589041,0.875367666,0.203098107,0.887124546,1.438054814
169,1577000,8,0,128,black,0.785319656,0.009981006,0.003923832,0.074200913,0.719357568,0.203098107,0.733262406,0.996656588
170,19000,0,2,0,black,0.753452271,0.000120247,5.77E-05,0.101598174,0.674554373,1,0.674732323,1.776152546
171,1336000,3,1,10,black,0.554679766,0.00845569,0.000403924,0.083333333,0.395094879,1,0.403954492,1.478428212
172,565000,0,1,10,black,0.917258481,0.003575943,0.000317369,0.152587519,0.904853833,0.203098107,0.908747145,1.260539459
173,1660,0,0,0,black,0.728917122,1.05E-05,0,0.038432268,0.640059761,1,0.640070261,1.678492029
174,51,0,0,0,red,0.385370225,3.16E-07,0,0.00456621,0.15705814,1,0.157058456,1.16162435
175,1208000,1,9,93,black,0.556338787,0.007645563,0.002971725,0.04109589,0.39742734,0.203098107,0.408044628,0.641621337
176,316000,2,0,0,black,0.682484627,0.001999994,5.77E-05,0.038812785,0.574779094,0.018359151,0.576836792,0.631951031
177,1759,0,0,0,black,0.850872755,1.11E-05,0,0.025494673,0.811520394,1,0.811531521,1.837015067
178,112000,3,0,5,black,0.864119828,0.000708854,0.000230814,0.082952816,0.830144802,1,0.83108447,1.913097618
179,138000,1,0,5,black,0.760502905,0.000873411,0.00017311,0.077245053,0.684467044,0.0562249,0.685513566,0.817936997
180,43,0,0,0,black,0.726749814,2.66E-07,0,0.353881279,0.637012685,1,0.637012951,1.990893964
181,461000,6,2,12,black,0.884949863,0.002917715,0.000577034,0.152968037,0.859430297,0.018359151,0.862925046,1.030757484
182,19000,0,0,0,black,0.478278935,0.000120247,0,0.032724505,0.28768094,1,0.287801187,1.320405445
183,7231000,108,137,528,black,0.816962868,0.045765817,0.022302366,0.091704718,0.763845592,1,0.831913774,1.85555031
184,854000,10,3,34,black,0.700545561,0.005405057,0.00135603,0.743150685,0.600171438,0.203098107,0.606932525,1.546420229
185,242000,0,0,0,black,0.875907302,0.001531639,0,0.097031963,0.846717122,0.02811245,0.848248761,0.971861535
186,823000,36,6,35,black,0.735155702,0.005208854,0.002221581,0.075722983,0.648830744,0.026391279,0.65626118,0.750945007
187,2399,0,1,0,black,0.784801483,1.52E-05,2.89E-05,0.196347032,0.718629055,1,0.718673084,1.914976087
188,9368,0,0,3,black,0.930583298,5.93E-05,8.66E-05,0.027016743,0.923587544,1,0.923733384,1.950604287
189,966000,1,0,0,black,0.624635682,0.006113918,2.89E-05,0.099315068,0.49344774,1,0.49959051,1.592762809
190,25320000,6,2,7,black,0.748401205,0.160253159,0.000432776,0.191019787,0.667452946,1,0.82813888,1.858472733
191,13000,0,2,2,black,0.712004572,8.23E-05,0.000115407,0.075722983,0.616281962,0.001147447,0.616479641,0.693152393
192,138000,37,52,624,black,0.688389023,0.000873411,0.020571264,0.21651446,0.583080241,1,0.604524916,1.7995947
193,17000,13,14,84,black,0.748027742,0.000107589,0.003202539,0.244672755,0.666927884,0.032128514,0.670238012,0.943729153
194,1745000,33,27,26,black,0.819152892,0.011044298,0.002481246,0.084855403,0.766924604,0.017211704,0.780450148,0.868991711
195,321,0,0,0,black,0.860527217,2.03E-06,0,0.060121766,0.825093857,1,0.825095882,1.885215622
196,20000,14,73,155,purple,0.352349192,0.000126576,0.006982112,0.037290715,0.110633001,0.072289157,0.117741689,0.220212873
197,22000,0,0,0,black,0.829730272,0.000139234,0,0.090943683,0.781795621,0.010327022,0.781934856,0.883066327
198,126000,2,1,25,black,0.551050842,0.000797462,0.000807848,0.052891933,0.389992878,1,0.391598188,1.442884811
199,55000,1,0,1,black,0.692465007,0.000348095,5.77E-05,0.065829528,0.588810774,1,0.589216572,1.654640302
200,173000,6,1,3,black,0.780186117,0.00109493,0.000288517,0.03652968,0.71214019,1,0.713523637,1.74866987
201,330000,4,12,93,black,0.801983905,0.002088601,0.003144836,0.365677321,0.742786273,0.203098107,0.74801971,1.311561701
202,59000,1,0,6,black,0.667016238,0.000373411,0.000201962,0.138127854,0.55303168,1,0.553607053,1.691159534
203,878000,5,54,123,black,0.733873844,0.005556956,0.00525101,0.053652968,0.647028547,0.0562249,0.657836513,0.756906415
204,109,0,0,0,black,0.804949194,6.84E-07,0,0.127853881,0.746955252,1,0.746955935,1.874809133
205,133000,0,0,1,black,0.710757375,0.000841766,2.89E-05,0.008371385,0.614528495,1,0.615399112,1.62289988
207,1014000,0,0,0,black,0.823545083,0.006417715,0,0.284246575,0.773099702,0.026391279,0.779517417,1.083737556
208,200000,1,0,1,black,0.856297076,0.001265816,5.77E-05,0.164764079,0.819146589,1,0.820470109,1.983910668
209,5734,0,1,0,black,0.873102367,3.63E-05,2.89E-05,0.037290715,0.84277359,1,0.842838727,1.880064306
210,10273000,11,14,181,black,0.713843286,0.065018981,0.005943451,0.054033486,0.618867059,1,0.689829491,1.672900544
211,369,0,1,0,black,0.796510279,2.33E-06,2.89E-05,0.022070015,0.735090759,0.018359151,0.73512194,0.775519925
212,23000,0,0,0,black,0.781009972,0.000145563,0,0.089421613,0.71329847,1,0.713444033,1.802720083
213,660,0,0,1,black,0.884008229,4.17E-06,2.89E-05,0.060121766,0.858106428,1,0.858139451,1.918228194
214,42000,9,4,12,black,0.799291432,0.000265816,0.000721293,0.126712329,0.739000855,0.026391279,0.739987964,0.892104463
215,100000,0,0,0,black,0.818893582,0.000632905,0,0.076103501,0.766560033,0.203098107,0.767192938,1.04576164
216,198000,3,11,15,black,0.705136597,0.001253158,0.000836699,0.055175038,0.606626096,0.203098107,0.608715953,0.86489924
217,9185,0,0,0,black,0.864389747,5.81E-05,0,0.145357686,0.830524289,1,0.830582416,1.975881976
218,1373000,40,40,136,black,0.841382086,0.008689867,0.006231968,0.139649924,0.798177213,1,0.813099048,1.937827137
219,1994000,5,2,11,black,0.776908934,0.012620247,0.000519331,0.057458143,0.707532712,0.203098107,0.72067229,0.968088962
220,119000,0,0,0,black,0.735969901,0.000753158,0,0.069254186,0.649975449,0.0562249,0.650728607,0.775454534
221,11000,8,3,8,black,0.83440119,6.96E-05,0.000548182,0.053652968,0.788362588,0.004589788,0.788980384,0.846605344
222,810000,1,1,19,black,0.845421195,0.005126576,0.000605886,0.033866058,0.803855902,0.203098107,0.809588364,1.040820067
223,68,0,0,0,black,0.780712217,4.24E-07,0,0.101978691,0.712879848,1,0.712880272,1.814858539
224,5736,0,0,1,black,0.824480295,3.63E-05,2.89E-05,0.058980213,0.77441454,1,0.77447969,1.833394754
225,2917,0,0,0,black,0.888174117,1.85E-05,0,0.112252664,0.86396336,1,0.863981815,1.976216023
226,171000,0,2,9,black,0.844331455,0.001082272,0.000317369,0.348934551,0.802323809,0.008605852,0.80372345,1.159864212
227,6224,5,5,130,red,0.500917912,3.94E-05,0.004039238,0.020928463,0.319509673,1,0.323588297,1.340438135
228,326,0,0,0,black,0.777985722,2.06E-06,0,0.089802131,0.709046597,1,0.709048654,1.798848727
229,1507000,78,5,101,black,0.790975213,0.009537968,0.005308713,0.043378995,0.727308864,0.002868617,0.742155546,0.773556477
230,2024000,3,1,7,black,0.659676433,0.01281012,0.000317369,0.052511416,0.542712454,1,0.555839943,1.59522387
231,572000,0,0,0,black,0.579906225,0.003620247,0,0.023592085,0.430561421,0.02811245,0.434181668,0.482265956
232,56000,100,134,792,black,0.809808731,0.000354424,0.029601847,0.056316591,0.753787402,0.203098107,0.783743673,1.0132021
233,886,0,0,2,black,0.840860009,5.60E-06,5.77E-05,0.085616438,0.797443211,1,0.797506516,1.88305965
234,6724,0,1,1,black,0.547084689,4.26E-05,5.77E-05,0.061263318,0.38441676,0.02811245,0.384517014,0.473792528
235,2679,0,0,0,black,0.798532188,1.69E-05,0,0.036149163,0.737933414,1,0.737950363,1.774082577
236,65000,0,0,0,black,0.777388811,0.000411386,0,0.063926941,0.708207384,1,0.70861877,1.772134325
